state,total_fatalities,avg_poverty_rate
CA,424,17.12
TX,225,19.91
FL,154,17.57
AZ,118,25.67
OH,79,14.85
OK,78,20.66
CO,74,13.36
GA,70,23.75
NC,69,19.75
MO,64,20.11
IL,62,13.88
WA,62,15.02
TN,59,19.89
LA,57,22.34
NM,51,23.08
PA,51,12.52
AL,50,20.65
VA,47,14.59
NY,45,11.67
SC,44,22.16
IN,43,15.49
KY,43,20.04
WI,43,12.86
NV,42,12.47
MD,38,10.31
OR,38,16.57
MI,37,17.9
NJ,35,8.19
MN,32,13.75
WV,27,21.13
AR,26,22.96
KS,24,14.77
MS,23,26.88
UT,23,11.98
MA,22,9.59
ID,17,18.24
AK,15,19.85
NE,15,12.98
ME,13,16.89
IA,12,12.29
DC,11,18.0
HI,11,13.4
MT,11,16.5
SD,10,16.03
CT,9,9.16
DE,8,12.56
WY,8,9.94
NH,7,12.66
ND,4,12.16
VT,3,13.79
RI,2,10.37
